"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"18","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","55","Parameter 'con' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"19","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","55","Parameter 'sqlStmt' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","56","Parameter 'inMap' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"21","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","5","57","Found 'DD'-anomaly for variable 'prepStmt' (lines '57'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"22","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","5","58","Found 'DD'-anomaly for variable 'resSet' (lines '58'-'64').","Controversial Rules","DataflowAnomalyAnalysis"
"23","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","5","59","Found 'DU'-anomaly for variable 'resultList' (lines '59'-'92').","Controversial Rules","DataflowAnomalyAnalysis"
"24","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","59","Local variable 'resultList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","66","Local variable 'obj' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"26","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","72","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"27","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","87","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"28","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","5","96","Found 'DD'-anomaly for variable 'preStmt' (lines '96'-'99').","Controversial Rules","DataflowAnomalyAnalysis"
"29","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","5","97","Found 'DD'-anomaly for variable 'result' (lines '97'-'101').","Controversial Rules","DataflowAnomalyAnalysis"
"30","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","5","101","Found 'DU'-anomaly for variable 'result' (lines '101'-'122').","Controversial Rules","DataflowAnomalyAnalysis"
"31","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","105","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"32","com.nttdata.dbfw","src/com/nttdata/dbfw/OutParamMapper.java","3","7","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"33","com.nttdata.dbfw","src/com/nttdata/dbfw/OutTypeMapper.java","3","7","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"34","com.nttdata.dbfw","src/com/nttdata/dbfw/ParamMapper.java","3","7","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"35","com.nttdata.dbfw","src/com/nttdata/dbfw/ResultMapper.java","3","7","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"36","com.nttdata.infra.dao","src/com/nttdata/infra/dao/ConnectionFactory.java","3","1","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"37","com.nttdata.infra.dao","src/com/nttdata/infra/dao/ConnectionFactory.java","3","7","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"38","com.nttdata.infra.dao","src/com/nttdata/infra/dao/ConnectionFactory.java","3","10","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"39","com.nttdata.infra.dao","src/com/nttdata/infra/dao/ConnectionFactory.java","5","10","Found 'DD'-anomaly for variable 'con' (lines '10'-'16').","Controversial Rules","DataflowAnomalyAnalysis"
"40","com.nttdata.infra.dao","src/com/nttdata/infra/dao/ConnectionFactory.java","3","13","Local variable 'userName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"41","com.nttdata.infra.dao","src/com/nttdata/infra/dao/ConnectionFactory.java","3","14","Local variable 'password' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"42","com.nttdata.infra.dao","src/com/nttdata/infra/dao/ConnectionFactory.java","3","15","Local variable 'url' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"43","com.nttdata.infra.dao","src/com/nttdata/infra/dao/ConnectionFactory.java","3","20","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"44","com.nttdata.infra.dao","src/com/nttdata/infra/dao/ConnectionFactory.java","3","24","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"45","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","19","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"46","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","19","The class 'RequestDAO' has a Cyclomatic Complexity of 6 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"47","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","24","The String literal 'Argument ' appears 4 times in this file; the first occurrence is on line 24","String and StringBuffer Rules","AvoidDuplicateLiterals"
"48","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","25","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"49","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","25","Found 'DD'-anomaly for variable 'con' (lines '25'-'55').","Controversial Rules","DataflowAnomalyAnalysis"
"50","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","25","Found 'DD'-anomaly for variable 'con' (lines '25'-'55').","Controversial Rules","DataflowAnomalyAnalysis"
"51","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","26","Found 'DD'-anomaly for variable 'result' (lines '26'-'57').","Controversial Rules","DataflowAnomalyAnalysis"
"52","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","26","Found 'DD'-anomaly for variable 'result' (lines '26'-'57').","Controversial Rules","DataflowAnomalyAnalysis"
"53","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","27","Found 'DD'-anomaly for variable 'reID' (lines '27'-'70').","Controversial Rules","DataflowAnomalyAnalysis"
"54","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","27","Found 'DD'-anomaly for variable 'reID' (lines '27'-'70').","Controversial Rules","DataflowAnomalyAnalysis"
"55","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","27","Found 'DU'-anomaly for variable 'reID' (lines '27'-'86').","Controversial Rules","DataflowAnomalyAnalysis"
"56","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","27","Found 'DU'-anomaly for variable 'reID' (lines '27'-'86').","Controversial Rules","DataflowAnomalyAnalysis"
"57","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","30","Local variable 'inMap' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"58","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","52","Found 'DD'-anomaly for variable 'conHolder' (lines '52'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"59","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","52","Found 'DD'-anomaly for variable 'conHolder' (lines '52'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"60","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","62","Found 'DD'-anomaly for variable 'reList' (lines '62'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"61","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","62","Found 'DD'-anomaly for variable 'reList' (lines '62'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"62","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","65","Local variable 'itr' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"63","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","66","Found 'DD'-anomaly for variable 'req' (lines '66'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"64","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","66","Found 'DD'-anomaly for variable 'req' (lines '66'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"65","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","66","Found 'DU'-anomaly for variable 'req' (lines '66'-'86').","Controversial Rules","DataflowAnomalyAnalysis"
"66","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","66","Found 'DU'-anomaly for variable 'req' (lines '66'-'86').","Controversial Rules","DataflowAnomalyAnalysis"
"67","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","68","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"68","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","68","Found 'DD'-anomaly for variable 'req' (lines '68'-'69').","Controversial Rules","DataflowAnomalyAnalysis"
"69","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","68","Found 'DD'-anomaly for variable 'req' (lines '68'-'69').","Controversial Rules","DataflowAnomalyAnalysis"
"70","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","70","Found 'DD'-anomaly for variable 'reID' (lines '70'-'70').","Controversial Rules","DataflowAnomalyAnalysis"
"71","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","70","Found 'DD'-anomaly for variable 'reID' (lines '70'-'70').","Controversial Rules","DataflowAnomalyAnalysis"
"72","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","70","Found 'DU'-anomaly for variable 'reID' (lines '70'-'86').","Controversial Rules","DataflowAnomalyAnalysis"
"73","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","70","Found 'DU'-anomaly for variable 'reID' (lines '70'-'86').","Controversial Rules","DataflowAnomalyAnalysis"
"74","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","76","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"75","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","80","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"76","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","92","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"77","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","92","Found 'DD'-anomaly for variable 'con' (lines '92'-'104').","Controversial Rules","DataflowAnomalyAnalysis"
"78","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","92","Found 'DD'-anomaly for variable 'con' (lines '92'-'104').","Controversial Rules","DataflowAnomalyAnalysis"
"79","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","93","Found 'DD'-anomaly for variable 'reqDetailsList' (lines '93'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"80","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","93","Found 'DD'-anomaly for variable 'reqDetailsList' (lines '93'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"81","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","94","Local variable 'inMap' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"82","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","103","Local variable 'conHolder' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"83","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","106","Found 'DU'-anomaly for variable 'reqDetailsList' (lines '106'-'120').","Controversial Rules","DataflowAnomalyAnalysis"
"84","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","106","Found 'DU'-anomaly for variable 'reqDetailsList' (lines '106'-'120').","Controversial Rules","DataflowAnomalyAnalysis"
"85","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","112","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"86","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","116","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"87","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","125","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"88","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","125","Found 'DD'-anomaly for variable 'con' (lines '125'-'131').","Controversial Rules","DataflowAnomalyAnalysis"
"89","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","126","Found 'DD'-anomaly for variable 'requestList' (lines '126'-'133').","Controversial Rules","DataflowAnomalyAnalysis"
"90","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","133","Found 'DU'-anomaly for variable 'requestList' (lines '133'-'149').","Controversial Rules","DataflowAnomalyAnalysis"
"91","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","139","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"92","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","155","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"93","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","155","Found 'DD'-anomaly for variable 'con' (lines '155'-'169').","Controversial Rules","DataflowAnomalyAnalysis"
"94","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","155","Found 'DD'-anomaly for variable 'con' (lines '155'-'169').","Controversial Rules","DataflowAnomalyAnalysis"
"95","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","157","Found 'DD'-anomaly for variable 'reqDetails' (lines '157'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"96","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","157","Found 'DD'-anomaly for variable 'reqDetails' (lines '157'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"97","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","157","Found 'DU'-anomaly for variable 'reqDetails' (lines '157'-'190').","Controversial Rules","DataflowAnomalyAnalysis"
"98","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","157","Found 'DU'-anomaly for variable 'reqDetails' (lines '157'-'190').","Controversial Rules","DataflowAnomalyAnalysis"
"99","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","159","Local variable 'inMap' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"100","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","176","Found 'DD'-anomaly for variable 'reqDetails' (lines '176'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"101","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","176","Found 'DD'-anomaly for variable 'reqDetails' (lines '176'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"102","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","176","Found 'DU'-anomaly for variable 'reqDetails' (lines '176'-'190').","Controversial Rules","DataflowAnomalyAnalysis"
"103","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","176","Found 'DU'-anomaly for variable 'reqDetails' (lines '176'-'190').","Controversial Rules","DataflowAnomalyAnalysis"
"104","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","192","The method 'saveSRDetails' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"105","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","3","197","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"106","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","197","Found 'DD'-anomaly for variable 'con' (lines '197'-'255').","Controversial Rules","DataflowAnomalyAnalysis"
"107","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","197","Found 'DD'-anomaly for variable 'con' (lines '197'-'255').","Controversial Rules","DataflowAnomalyAnalysis"
"108","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","197","Found 'DD'-anomaly for variable 'con' (lines '197'-'255').","Controversial Rules","DataflowAnomalyAnalysis"
"109","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","197","Found 'DD'-anomaly for variable 'con' (lines '197'-'255').","Controversial Rules","DataflowAnomalyAnalysis"
"110","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","197","Found 'DD'-anomaly for variable 'con' (lines '197'-'255').","Controversial Rules","DataflowAnomalyAnalysis"
"111","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'259').","Controversial Rules","DataflowAnomalyAnalysis"
"112","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'259').","Controversial Rules","DataflowAnomalyAnalysis"
"113","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'259').","Controversial Rules","DataflowAnomalyAnalysis"
"114","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'259').","Controversial Rules","DataflowAnomalyAnalysis"
"115","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'259').","Controversial Rules","DataflowAnomalyAnalysis"
"116","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"117","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"118","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"119","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'263').","Controversial Rules","DataflowAnomalyAnalysis"
"120","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'267').","Controversial Rules","DataflowAnomalyAnalysis"
"121","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'267').","Controversial Rules","DataflowAnomalyAnalysis"
"122","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'267').","Controversial Rules","DataflowAnomalyAnalysis"
"123","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'267').","Controversial Rules","DataflowAnomalyAnalysis"
"124","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'271').","Controversial Rules","DataflowAnomalyAnalysis"
"125","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'271').","Controversial Rules","DataflowAnomalyAnalysis"
"126","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'271').","Controversial Rules","DataflowAnomalyAnalysis"
"127","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","200","Found 'DD'-anomaly for variable 'result' (lines '200'-'271').","Controversial Rules","DataflowAnomalyAnalysis"
"128","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","201","Found 'DD'-anomaly for variable 'isInserted' (lines '201'-'275').","Controversial Rules","DataflowAnomalyAnalysis"
"129","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","201","Found 'DD'-anomaly for variable 'isInserted' (lines '201'-'275').","Controversial Rules","DataflowAnomalyAnalysis"
"130","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","201","Found 'DD'-anomaly for variable 'isInserted' (lines '201'-'275').","Controversial Rules","DataflowAnomalyAnalysis"
"131","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","201","Found 'DD'-anomaly for variable 'isInserted' (lines '201'-'275').","Controversial Rules","DataflowAnomalyAnalysis"
"132","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","201","Found 'DD'-anomaly for variable 'isInserted' (lines '201'-'275').","Controversial Rules","DataflowAnomalyAnalysis"
"133","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","201","Found 'DU'-anomaly for variable 'isInserted' (lines '201'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"134","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","201","Found 'DU'-anomaly for variable 'isInserted' (lines '201'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"135","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","201","Found 'DU'-anomaly for variable 'isInserted' (lines '201'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"136","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","201","Found 'DU'-anomaly for variable 'isInserted' (lines '201'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"137","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","202","Found 'DU'-anomaly for variable 'inMapCancel' (lines '202'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"138","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","202","Found 'DU'-anomaly for variable 'inMapCancel' (lines '202'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"139","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","202","Found 'DU'-anomaly for variable 'inMapCancel' (lines '202'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"140","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","202","Found 'DU'-anomaly for variable 'inMapCancel' (lines '202'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"141","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","216","Found 'DU'-anomaly for variable 'inMapReject' (lines '216'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"142","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","216","Found 'DU'-anomaly for variable 'inMapReject' (lines '216'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"143","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","216","Found 'DU'-anomaly for variable 'inMapReject' (lines '216'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"144","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","216","Found 'DU'-anomaly for variable 'inMapReject' (lines '216'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"145","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","216","Found 'DU'-anomaly for variable 'inMapReject' (lines '216'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"146","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","230","Found 'DU'-anomaly for variable 'inMapAssign' (lines '230'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"147","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","230","Found 'DU'-anomaly for variable 'inMapAssign' (lines '230'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"148","com.nttdata.infra.dao","src/com/nttdata/infra/dao/RequestDAO.java","5","230","Found 'DU'-anomaly for variable 'inMapAssign' (lines '230'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
